timestamp,kernel,ac_online,wall_s,s0ix_pct,suspend_w,note
2026-06-25 09:03:16,7.0.12-201.fc44.x86_64,0,242,0,2.26,ab-baseline aspm-off wake-armed
2026-06-25 09:03:26,7.0.12-201.fc44.x86_64,0,10,0,12.60,ab-aspm-on wake-armed
2026-06-25 09:07:31,7.0.12-201.fc44.x86_64,0,245,0,2.40,ab-wake-disarmed aspm-off
2026-06-25 11:29:37,7.0.12-201.fc44.x86_64,0,244,0,2.07,ec-baseline gpe6E-unmasked
2026-06-25 11:31:53,7.0.12-201.fc44.x86_64,0,135,0,2.48,ec-gpe-masked
2026-07-03 08:14:27,7.0.14-201.fc44.x86_64,1,60,0,NA,s2idle-on-AC 7.0.14
2026-07-03 08:49:02,7.0.14-201.fc44.x86_64,0,98,0,10.29,s2idle-unplugged-30min 7.0.14
2026-07-03 08:56:26,7.0.14-201.fc44.x86_64,0,244,0,10.17,ec-baseline gpe6E-unmasked
2026-07-03 09:00:29,7.0.14-201.fc44.x86_64,0,242,0,10.41,ec-gpe-masked
2026-07-03 09:37:55,7.0.14-201.fc44.x86_64,0,244,0,2.40,post-cstate-clear
